id,latitude,longitude,num_bus_2km,num_subway_2km,num_shop_2km,nearest_shop(m),num_restaurant_2km,neighbourhood_cleansed,room_type,accommodates,baths,beds,days,amenities,price,future_occupancy
4016671,49.26645,-123.06893,192,4,178,142.06056059948364,174,Grandview-Woodland,Entire home/apt,2,1.0,1,3036,19,119.0,0.367
16177189,49.26594,-123.10085,282,6,180,325.0352233765237,405,Mount Pleasant,Entire home/apt,2,1.0,1,2456,16,158.0,0.967
35470002,49.23435,-123.06645,252,2,127,225.40477461851938,119,Kensington-Cedar Cottage,Private room,2,0.5,1,2679,19,60.0,0.7
20484308,49.28043,-123.10564,300,9,164,49.09275898617275,565,Downtown Eastside,Entire home/apt,2,1.0,1,1909,20,120.0,1.0
25348106,49.28384,-123.10614,272,8,165,127.29041335208893,541,Downtown Eastside,Entire home/apt,2,1.0,1,3387,18,99.0,0.6
34898227,49.28079,-123.09973,269,9,167,79.79869713841452,482,Downtown Eastside,Entire home/apt,4,1.0,2,2145,15,165.0,1.0
10618317,49.24354,-123.07279,213,2,133,548.947137451521,125,Kensington-Cedar Cottage,Entire home/apt,4,1.0,1,2327,17,100.0,1.0
45221564,49.2841,-123.10826,273,8,165,165.41786115617114,559,Downtown Eastside,Entire home/apt,3,1.0,2,3789,19,94.0,1.0
37803892,49.23547,-123.135,168,2,109,1676.759457134479,36,Shaughnessy,Entire home/apt,5,1.0,3,1201,18,85.0,0.733
40739652,49.279301,-123.107849,317,10,164,18.679867936506028,608,Downtown,Entire home/apt,6,2.0,3,2084,18,201.0,0.9
